Name,Address,PhoneNumber,Website,Email
Little Star High School,"1-2-98,, Shanthinagar, Shanti Nagar, Adilabad - 504001",-87387080752,http://www.agakhanschools.org/India/LSHSA,
Aryabhatta International Sc..,"7-1-9, Nh 7, Bhuktapur, Adilabad - 504001, Opposite to New Bus Stand",-9923024293,,
Kakatiya High School,"Nh 7, Ramnagar Colony, Dasnapur Colony, Adilabad - 504001, Near Hanuman Mandir",-9943639655,http://kakatiyatechnoschool.webs.com/,dyawarishettyhemanth@gmail.com
Sr Digi School,"Mavala Mandal, Dasnapur, Teachers Colony, Adilabad - 504001",-8884299760,http://www.srdigischool.com/,vizag@srdigischool.com
Sri Pulaji Baba School Of E..,"Uttnoor, X Road, Adilabad - 504311",-9999468249,,
S.M.M Golden Leaf School,"Adilabad ., Ichoda, Thanda Road, Echoda, Adilabad - 504307",-9941601174,,
Mayuri School,"Mayuri Colony, Kowthala, Adilabad - 504299, Beside Police Station",-87341293887,http://mayurividyalayamkoutala.com/,
Global High School,"Netaji Chowk, Adilabad - 504001, Behind Central Library",-9271188542,,
Global High School,"Teachers Colony, Adilabad - 504001",-9231122458,,
Vedham School Of Excellence,"4-3-5/A/30, NARSIMHA NAGAR, BHAINSA Dist : ADILABAD, Andhra Pradesh, Bhainsa, Adilabad - 504103",-9475734659,,
Samskaar Dreams School,"Ponnar, Ravindra Nagar Colony, Dwaraka Nagar, Adilabad - 504001",-8792657639,,
Mount Carmel High School,"Nizamabad Mancherial Rd, Gudipet, Adilabad - 504207, Near Police Camp",-9838050771,http://mount-carmel-high-school-gudipet.business.site/,.@.null
